store_nbr,family,rmse,mape,rmsle,n_samples
41.0,28.0,3.8737799959771753,0.6215982534306946,0.0073748378752895105,46.0
2.0,9.0,9.275157064196604,0.6051606319911379,0.007780465072971007,46.0
11.0,28.0,1.8658850277244763,0.6615271625474082,0.007932261524344404,46.0
16.0,18.0,9.610446319960909,0.6567368202674817,0.008155664545294282,46.0
13.0,5.0,2.021533244279335,0.7093837414083076,0.008220207807248211,46.0
28.0,28.0,2.7979409826268897,0.6622967424117188,0.008305774390349905,46.0
11.0,9.0,3.9966066913760225,0.6947765619127044,0.008353615703154968,46.0
36.0,28.0,4.85176373206691,0.7021303901042178,0.008364571572427724,46.0
20.0,28.0,2.2545539388200244,0.6954015781820423,0.008419222369136585,46.0
52.0,18.0,4.096649451808923,0.72838624725527,0.00848826511624586,46.0
