store_nbr,family,rmse,mape,rmsle,n_samples
29,7,5361240.691624922,5.76699054805309,0.14169446911136627,46.0
43,1,0.007288754436633465,8095635.279365208,0.0813664567662958,46.0
43,4,0.006780684008253858,7642155.162313192,0.07835266137261006,46.0
44,1,0.004697999495770888,6772554.511933223,0.06619623738904222,46.0
44,4,0.00475260185896873,6679455.3982266905,0.06614149003617241,46.0
46,1,0.00468911410590472,6764529.272913933,0.06613431363569122,46.0
43,17,0.006382482062755047,5073536.365742166,0.06608903538128774,46.0
46,4,0.004792488029778274,6447481.472265979,0.06552633930307782,46.0
45,1,0.0040151232607862535,6204845.408058684,0.061291749488801846,46.0
31,7,156141.09139153617,3.533169037746639,0.06100731984441725,46.0
