store_nbr,family,rmse,mape,rmsle,n_samples
37,8,85.65136449543412,0.9397519811801687,0.011533913365407362,46.0
46,7,1054.3009904272599,0.9572491453601683,0.01168526073170142,46.0
33,3,796.8993170073015,0.9884557661672122,0.011870538491899302,46.0
3,3,1297.826061127639,0.9885221060340198,0.011950602987368521,46.0
44,8,888.8778234638645,0.994428555164576,0.01197103851746918,46.0
41,30,1032.5711178566949,0.996720870631135,0.012061187526718508,46.0
14,12,1045.2970063299467,1.0149641399089442,0.012062817518514797,46.0
22,12,697.5197309405287,0.9657258723858761,0.012082704794058265,46.0
40,7,235.42836166480794,1.010745351370905,0.012102566000750561,46.0
17,3,979.1074327627224,0.9971675721725453,0.012212141440741033,46.0
