store_nbr,family,rmse,mape,rmsle,n_samples
30,9,2.86411841730754,0.4996838644635056,0.0062471276581374845,46.0
21,9,1.1002463262070112,0.5498208901624153,0.006875676357302786,46.0
3,5,7.63744871879154,0.561630818498799,0.006905841184784889,46.0
33,24,1.9070532311714041,0.5544153366333564,0.00697458423907693,46.0
50,10,6.875135329739272,0.5905300127314476,0.007017408889803393,46.0
12,9,1.5025454325469858,0.5660308700181144,0.0070385512076293075,46.0
52,18,3.2316439248338016,0.6064486106105126,0.007204019677548205,46.0
13,25,3.937237323207386,0.6039202845229864,0.0072710823213047145,46.0
42,18,4.193603715834046,0.5983843275359547,0.007292545593259601,46.0
9,18,2.222984903931122,0.6170992666424705,0.007328312969928761,46.0
