store_nbr,family,rmse,mape,rmsle,n_samples
43,1,0.10044919522837117,31564277.66965783,0.2749357004473882,46.0
43,4,0.09537905796182036,29985255.417933933,0.2675155897514025,46.0
44,1,0.08888098874220932,29761502.79459746,0.26078202945647255,46.0
46,1,0.08857745459226453,29711166.801659957,0.2603908980067331,46.0
44,4,0.08722804057978328,29124206.067394692,0.25811184867070436,46.0
46,4,0.0837318067742272,27775829.600964423,0.2521053343817469,46.0
45,1,0.07087186036167738,25952369.6873499,0.23455610801183122,46.0
43,17,0.06805892012157899,19676264.709222484,0.21828906520913113,46.0
2,4,0.057468489381573985,23259488.136872,0.21333456689401267,46.0
45,4,0.0592731510259473,21175303.794374414,0.21168439814838164,46.0
