store_nbr,family,rmse,mape,rmsle,n_samples
15,4,0.05269521442821223,22923463.38862958,0.0,46.0
15,19,0.05269521442821223,22923463.38862958,0.0,46.0
15,20,0.05269521442821223,22923463.38862958,0.0,46.0
15,31,0.05269521442821223,22923463.38862958,0.0,46.0
25,1,0.04402817019176037,20959684.90061553,0.0,46.0
25,4,0.04402817019176037,20959684.90061553,0.0,46.0
29,4,0.04336491013421486,20773136.45378403,0.0,46.0
29,20,0.04336491013421486,20773136.45378403,0.0,46.0
31,1,0.04402817019176037,20959684.90061553,0.0,46.0
31,4,0.04402817019176037,20959684.90061553,0.0,46.0
