store_nbr,family,rmse,mape,rmsle,n_samples
15,4,0.0012022471993685612,3461368.459767116,0.0,46.0
15,19,0.0012022471993685612,3461368.459767116,0.0,46.0
15,20,0.0012022471993685612,3461368.459767116,0.0,46.0
15,31,0.0012257157164457567,3495104.688709987,0.0,46.0
25,1,0.0012087387385067768,3476692.0175747196,0.0,46.0
25,4,0.0012087387385067768,3476692.0175747196,0.0,46.0
29,4,0.001195979068802755,3454394.392367244,0.0,46.0
29,20,0.001195979068802755,3454394.392367244,0.0,46.0
31,1,0.0012087387385067768,3476692.0175747196,0.0,46.0
31,4,0.0012087387385067768,3476692.0175747196,0.0,46.0
