store_nbr,family,rmse,mape,rmsle,n_samples
11,28,1.7389318363218897,0.5640763925071344,0.007072002197973939,46.0
30,9,4.325266132663827,0.686429110898337,0.008305053175656574,46.0
17,5,25.686561173779648,0.6739604828764129,0.008451105747327556,46.0
42,18,4.697823231963886,0.6947512673840324,0.008488373840750952,46.0
15,9,2.6236743969038008,0.6857659597103543,0.0085865372545635,46.0
50,10,9.257776746166991,0.736932052216581,0.008625417374777823,46.0
4,25,5.066332371738415,0.7696022054832236,0.00873008461995214,46.0
18,9,7.18549376846615,0.7235085698937064,0.008734669315291507,46.0
39,24,1.8975255638265758,0.7110381260605385,0.008748043551065636,46.0
13,5,2.168848744210149,0.69058552569354,0.00875346202390542,46.0
