store_nbr,family,rmse,mape,rmsle,n_samples
43,1,0.30507227954514027,55205442.8535959,0.4396617141309776,46.0
43,4,0.2952265316848693,53063684.683715135,0.4318305888173571,46.0
44,1,0.2717126606824317,51908433.04862147,0.4188185433327341,46.0
46,1,0.2688845618045175,51582371.79984217,0.4168870407194063,46.0
44,4,0.26841842795323556,51028166.73104011,0.4158953991329973,46.0
46,4,0.25744068184179836,48478690.94906397,0.4053643613107689,46.0
45,1,0.19613045496778714,42835467.27636586,0.3621703426722015,46.0
43,17,0.21543557680787087,35268765.58166925,0.3555757903334551,46.0
45,4,0.1674434327325296,35517299.08991482,0.331213253291054,46.0
2,4,0.14328582204554652,36638070.90209878,0.3173671655337945,46.0
