store_nbr,family,rmse,mape,rmsle,n_samples
44,0,0.010389228615839902,0.48578547052741544,0.0054726471694829665,46.0
14,16,0.010661073186265245,0.5040365829298659,0.005930150713348424,46.0
37,20,0.026819543878188953,0.4997181484285749,0.006154120861823402,46.0
33,15,0.06823294249888141,0.5301378729203299,0.0064591229273484735,46.0
40,6,0.007195544348596049,0.644208485551203,0.006538365506435207,46.0
42,16,0.023344250356766006,0.5731826101761546,0.006595196866615947,46.0
14,25,1.751126331993399,0.4895653732275933,0.006601937605035011,46.0
43,2,0.013732149901113396,0.5582253884970516,0.006651398515062205,46.0
46,2,0.018629643633195647,0.5503499180420566,0.006677051291496879,46.0
11,16,0.04640044100274874,0.48755114756800866,0.006682920927986325,46.0
