store_nbr,family,rmse,mape,rmsle,n_samples
43,1,4.305967038583383,199210582.86791262,1.093429138313154,46.0
43,4,4.031993585703896,186052269.58990356,1.06037145706476,46.0
44,1,2.9003904673638288,168515335.7360674,0.9877348732744338,46.0
46,1,2.829412762276408,166866531.06108955,0.9815800474796093,46.0
44,4,2.852896527603731,164901628.5410469,0.9782814577467764,46.0
46,4,2.6938610202007216,156334282.52585298,0.9533824777256626,46.0
45,1,2.1240064228173807,141105668.1819584,0.8815206167129845,46.0
43,17,2.996265147327792,121680016.40927358,0.8784784640232629,46.0
45,4,1.7665822056625564,114283015.56355953,0.798974632399,46.0
2,4,1.500627683998131,119618495.26218747,0.7885389371591827,46.0
